Container	Memory-usage(MiB)
rfsim5g-oai-cucp	13160448
rfsim5g-oai-cucp	13365248
rfsim5g-oai-cucp	13381632
rfsim5g-oai-cucp	13398016
rfsim5g-oai-cucp	13414400
rfsim5g-oai-cucp	13430784
rfsim5g-oai-cucp	13438976
rfsim5g-oai-cucp	13459456
rfsim5g-oai-cucp	13471744
rfsim5g-oai-cucp	13484032
rfsim5g-oai-cucp	13500416
rfsim5g-oai-cucp	13520896
rfsim5g-oai-cucp	13524992
rfsim5g-oai-cucp	13545472
rfsim5g-oai-cucp	13553664
rfsim5g-oai-cucp	13570048
rfsim5g-oai-cucp	13582336
rfsim5g-oai-cucp	13602816
rfsim5g-oai-cucp	13611008
rfsim5g-oai-cucp	13668352
rfsim5g-oai-cucp	13676544
rfsim5g-oai-cucp	13692928
rfsim5g-oai-cucp	13709312
rfsim5g-oai-cucp	13721600
rfsim5g-oai-cucp	13737984
rfsim5g-oai-cucp	13750272
rfsim5g-oai-cucp	13762560
rfsim5g-oai-cucp	13783040
rfsim5g-oai-cucp	13819904
rfsim5g-oai-cucp	13807616
rfsim5g-oai-cucp	14684160
rfsim5g-oai-cucp	13840384
rfsim5g-oai-cucp	13852672
rfsim5g-oai-cucp	13864960
rfsim5g-oai-cucp	13877248
rfsim5g-oai-cucp	13893632
rfsim5g-oai-cucp	13914112
rfsim5g-oai-cucp	13922304
rfsim5g-oai-cucp	13938688
rfsim5g-oai-cucp	13950976
rfsim5g-oai-cucp	13971456
rfsim5g-oai-cucp	13979648
rfsim5g-oai-cucp	13996032
rfsim5g-oai-cucp	14008320
rfsim5g-oai-cucp	14024704
rfsim5g-oai-cucp	14036992
rfsim5g-oai-cucp	14053376
rfsim5g-oai-cucp	14065664
rfsim5g-oai-cucp	14082048
rfsim5g-oai-cucp	14094336
rfsim5g-oai-cucp	14110720
rfsim5g-oai-cucp	14127104
rfsim5g-oai-cucp	14139392
rfsim5g-oai-cucp	14151680
rfsim5g-oai-cucp	14168064
rfsim5g-oai-cucp	14180352
rfsim5g-oai-cucp	14196736
rfsim5g-oai-cucp	14209024
rfsim5g-oai-cucp	14225408
rfsim5g-oai-cucp	14237696
rfsim5g-oai-cucp	14258176
rfsim5g-oai-cucp	14266368
rfsim5g-oai-cucp	14282752
rfsim5g-oai-cucp	14295040
rfsim5g-oai-cucp	14311424
rfsim5g-oai-cucp	14323712
rfsim5g-oai-cucp	14344192
rfsim5g-oai-cucp	14352384
rfsim5g-oai-cucp	14368768
rfsim5g-oai-cucp	14381056
rfsim5g-oai-cucp	14397440
rfsim5g-oai-cucp	14540800
rfsim5g-oai-cucp	14426112
rfsim5g-oai-cucp	14442496
rfsim5g-oai-cucp	14454784
rfsim5g-oai-cucp	14471168
rfsim5g-oai-cucp	14487552
rfsim5g-oai-cucp	14499840
rfsim5g-oai-cucp	14516224
rfsim5g-oai-cucp	14532608
rfsim5g-oai-cucp	14540800
rfsim5g-oai-cucp	14561280
rfsim5g-oai-cucp	14573568
rfsim5g-oai-cucp	14585856
rfsim5g-oai-cucp	14598144
rfsim5g-oai-cucp	14614528
rfsim5g-oai-cucp	14630912
rfsim5g-oai-cucp	14647296
rfsim5g-oai-cucp	14655488
rfsim5g-oai-cucp	14671872
rfsim5g-oai-cucp	14684160
rfsim5g-oai-cucp	14704640
rfsim5g-oai-cucp	14716928
rfsim5g-oai-cucp	14733312
rfsim5g-oai-cucp	14745600
rfsim5g-oai-cucp	14757888
rfsim5g-oai-cucp	14770176
rfsim5g-oai-cucp	14786560
rfsim5g-oai-cucp	14798848
rfsim5g-oai-cucp	14815232
rfsim5g-oai-cucp	14831616
rfsim5g-oai-cucp	14843904
rfsim5g-oai-cucp	14864384
rfsim5g-oai-cucp	14880768
rfsim5g-oai-cucp	14893056
rfsim5g-oai-cucp	14905344
rfsim5g-oai-cucp	14921728
rfsim5g-oai-cucp	14934016
rfsim5g-oai-cucp	14950400
rfsim5g-oai-cucp	14962688
rfsim5g-oai-cucp	14983168
rfsim5g-oai-cucp	14991360
rfsim5g-oai-cucp	15011840
rfsim5g-oai-cucp	15020032
rfsim5g-oai-cucp	15036416
rfsim5g-oai-cucp	15048704
rfsim5g-oai-cucp	15065088
rfsim5g-oai-cucp	15077376
rfsim5g-oai-cucp	15093760
rfsim5g-oai-cucp	15110144
rfsim5g-oai-cucp	15126528
rfsim5g-oai-cucp	15142912
rfsim5g-oai-cucp	15155200
rfsim5g-oai-cucp	15167488
rfsim5g-oai-cucp	15183872
rfsim5g-oai-cucp	15200256
rfsim5g-oai-cucp	15216640
rfsim5g-oai-cucp	15224832
rfsim5g-oai-cucp	15245312
rfsim5g-oai-cucp	15257600
rfsim5g-oai-cucp	15396864
rfsim5g-oai-cucp	15286272
rfsim5g-oai-cucp	15302656
rfsim5g-oai-cucp	15314944
rfsim5g-oai-cucp	15327232
rfsim5g-oai-cucp	15339520
rfsim5g-oai-cucp	15355904
rfsim5g-oai-cucp	15372288
rfsim5g-oai-cucp	15388672
rfsim5g-oai-cucp	15400960
rfsim5g-oai-cucp	15417344
rfsim5g-oai-cucp	15429632
rfsim5g-oai-cucp	15441920
rfsim5g-oai-cucp	15458304
rfsim5g-oai-cucp	15470592
