Container	Memory-usage(MiB)
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2347008
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2347008
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2347008
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2379776
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
rfsim5g-oai-cuup	2342912
