Container	Memory-usage(MiB)
rfsim5g-oai-cuup	13160448
rfsim5g-oai-cuup	13365248
rfsim5g-oai-cuup	13381632
rfsim5g-oai-cuup	13398016
rfsim5g-oai-cuup	13414400
rfsim5g-oai-cuup	13430784
rfsim5g-oai-cuup	13438976
rfsim5g-oai-cuup	13459456
rfsim5g-oai-cuup	13471744
rfsim5g-oai-cuup	13484032
rfsim5g-oai-cuup	13500416
rfsim5g-oai-cuup	13520896
rfsim5g-oai-cuup	13524992
rfsim5g-oai-cuup	13545472
rfsim5g-oai-cuup	13553664
rfsim5g-oai-cuup	13570048
rfsim5g-oai-cuup	13582336
rfsim5g-oai-cuup	13602816
rfsim5g-oai-cuup	13611008
rfsim5g-oai-cuup	13668352
rfsim5g-oai-cuup	13676544
rfsim5g-oai-cuup	13692928
rfsim5g-oai-cuup	13709312
rfsim5g-oai-cuup	13721600
rfsim5g-oai-cuup	13737984
rfsim5g-oai-cuup	13750272
rfsim5g-oai-cuup	13762560
rfsim5g-oai-cuup	13783040
rfsim5g-oai-cuup	13819904
rfsim5g-oai-cuup	13807616
rfsim5g-oai-cuup	14684160
rfsim5g-oai-cuup	13840384
rfsim5g-oai-cuup	13852672
rfsim5g-oai-cuup	13864960
rfsim5g-oai-cuup	13877248
rfsim5g-oai-cuup	13893632
rfsim5g-oai-cuup	13914112
rfsim5g-oai-cuup	13922304
rfsim5g-oai-cuup	13938688
rfsim5g-oai-cuup	13950976
rfsim5g-oai-cuup	13971456
rfsim5g-oai-cuup	13979648
rfsim5g-oai-cuup	13996032
rfsim5g-oai-cuup	14008320
rfsim5g-oai-cuup	14024704
rfsim5g-oai-cuup	14036992
rfsim5g-oai-cuup	14053376
rfsim5g-oai-cuup	14065664
rfsim5g-oai-cuup	14082048
rfsim5g-oai-cuup	14094336
rfsim5g-oai-cuup	14110720
rfsim5g-oai-cuup	14127104
rfsim5g-oai-cuup	14139392
rfsim5g-oai-cuup	14151680
rfsim5g-oai-cuup	14168064
rfsim5g-oai-cuup	14180352
rfsim5g-oai-cuup	14196736
rfsim5g-oai-cuup	14209024
rfsim5g-oai-cuup	14225408
rfsim5g-oai-cuup	14237696
rfsim5g-oai-cuup	14258176
rfsim5g-oai-cuup	14266368
rfsim5g-oai-cuup	14282752
rfsim5g-oai-cuup	14295040
rfsim5g-oai-cuup	14311424
rfsim5g-oai-cuup	14323712
rfsim5g-oai-cuup	14344192
rfsim5g-oai-cuup	14352384
rfsim5g-oai-cuup	14368768
rfsim5g-oai-cuup	14381056
rfsim5g-oai-cuup	14397440
rfsim5g-oai-cuup	14540800
rfsim5g-oai-cuup	14426112
rfsim5g-oai-cuup	14442496
rfsim5g-oai-cuup	14454784
rfsim5g-oai-cuup	14471168
rfsim5g-oai-cuup	14487552
rfsim5g-oai-cuup	14499840
rfsim5g-oai-cuup	14516224
rfsim5g-oai-cuup	14532608
rfsim5g-oai-cuup	14540800
rfsim5g-oai-cuup	14561280
rfsim5g-oai-cuup	14573568
rfsim5g-oai-cuup	14585856
rfsim5g-oai-cuup	14598144
rfsim5g-oai-cuup	14614528
rfsim5g-oai-cuup	14630912
rfsim5g-oai-cuup	14647296
rfsim5g-oai-cuup	14655488
rfsim5g-oai-cuup	14671872
rfsim5g-oai-cuup	14684160
rfsim5g-oai-cuup	14704640
rfsim5g-oai-cuup	14716928
rfsim5g-oai-cuup	14733312
rfsim5g-oai-cuup	14745600
rfsim5g-oai-cuup	14757888
