Container	Memory-usage(bytes)
rfsim5g-oai-du	16130048
rfsim5g-oai-du	16326656
rfsim5g-oai-du	16338944
rfsim5g-oai-du	16355328
rfsim5g-oai-du	16367616
rfsim5g-oai-du	16384000
rfsim5g-oai-du	16396288
rfsim5g-oai-du	16412672
rfsim5g-oai-du	16424960
rfsim5g-oai-du	16445440
rfsim5g-oai-du	16453632
rfsim5g-oai-du	16474112
rfsim5g-oai-du	16482304
rfsim5g-oai-du	16498688
rfsim5g-oai-du	16519168
rfsim5g-oai-du	16527360
rfsim5g-oai-du	16543744
rfsim5g-oai-du	16560128
rfsim5g-oai-du	16572416
rfsim5g-oai-du	16588800
rfsim5g-oai-du	16601088
rfsim5g-oai-du	16613376
rfsim5g-oai-du	16629760
rfsim5g-oai-du	16642048
rfsim5g-oai-du	16658432
rfsim5g-oai-du	16674816
rfsim5g-oai-du	16687104
rfsim5g-oai-du	16699392
rfsim5g-oai-du	16715776
rfsim5g-oai-du	16728064
rfsim5g-oai-du	16744448
rfsim5g-oai-du	16760832
rfsim5g-oai-du	16777216
rfsim5g-oai-du	16785408
rfsim5g-oai-du	16801792
rfsim5g-oai-du	16814080
rfsim5g-oai-du	16834560
rfsim5g-oai-du	16842752
rfsim5g-oai-du	16859136
rfsim5g-oai-du	16871424
rfsim5g-oai-du	16887808
rfsim5g-oai-du	16900096
rfsim5g-oai-du	16916480
rfsim5g-oai-du	16932864
rfsim5g-oai-du	16945152
rfsim5g-oai-du	17088512
rfsim5g-oai-du	16977920
rfsim5g-oai-du	16990208
rfsim5g-oai-du	17010688
rfsim5g-oai-du	17018880
rfsim5g-oai-du	17035264
rfsim5g-oai-du	17051648
rfsim5g-oai-du	17063936
rfsim5g-oai-du	17076224
rfsim5g-oai-du	17092608
rfsim5g-oai-du	17108992
rfsim5g-oai-du	17125376
rfsim5g-oai-du	17141760
rfsim5g-oai-du	17149952
rfsim5g-oai-du	17166336
rfsim5g-oai-du	17178624
rfsim5g-oai-du	17195008
rfsim5g-oai-du	17207296
rfsim5g-oai-du	17223680
rfsim5g-oai-du	17235968
rfsim5g-oai-du	17252352
rfsim5g-oai-du	17264640
rfsim5g-oai-du	17285120
rfsim5g-oai-du	17293312
rfsim5g-oai-du	17313792
rfsim5g-oai-du	17321984
rfsim5g-oai-du	17338368
rfsim5g-oai-du	17350656
rfsim5g-oai-du	17367040
rfsim5g-oai-du	17379328
rfsim5g-oai-du	17395712
rfsim5g-oai-du	17412096
rfsim5g-oai-du	17428480
rfsim5g-oai-du	17436672
rfsim5g-oai-du	17453056
rfsim5g-oai-du	17465344
rfsim5g-oai-du	17481728
rfsim5g-oai-du	17494016
rfsim5g-oai-du	17510400
rfsim5g-oai-du	17526784
rfsim5g-oai-du	17539072
rfsim5g-oai-du	17559552
