Connecting to host 192.168.30.3, port 5201
Reverse mode, remote host 192.168.30.3 is sending
[  5] local 192.168.30.5 port 34019 connected to 192.168.30.3 port 5201
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  19.8 KBytes   162 Kbits/sec  46418338278.788 ms  0/14 (0%)  
[  5]   1.00-2.00   sec  15.6 KBytes   127 Kbits/sec  22823047260.644 ms  0/11 (0%)  
[  5]   2.00-3.00   sec  15.6 KBytes   127 Kbits/sec  11221674570.380 ms  0/11 (0%)  
[  5]   3.00-4.00   sec  15.6 KBytes   127 Kbits/sec  5517491977.544 ms  0/11 (0%)  
[  5]   4.00-5.00   sec  15.6 KBytes   127 Kbits/sec  2712849809.661 ms  0/11 (0%)  
[  5]   5.00-6.00   sec  15.6 KBytes   127 Kbits/sec  1333858593.689 ms  0/11 (0%)  
[  5]   6.00-7.00   sec  15.6 KBytes   127 Kbits/sec  655833854.736 ms  0/11 (0%)  
[  5]   7.00-8.00   sec  15.6 KBytes   127 Kbits/sec  322461501.605 ms  0/11 (0%)  
[  5]   8.00-9.00   sec  14.1 KBytes   116 Kbits/sec  169118312.342 ms  0/10 (0%)  
[  5]   9.00-10.00  sec  17.0 KBytes   139 Kbits/sec  77955354.901 ms  0/12 (0%)  
[  5]  10.00-11.00  sec  15.6 KBytes   127 Kbits/sec  38329221.080 ms  0/11 (0%)  
[  5]  11.00-12.00  sec  15.6 KBytes   127 Kbits/sec  18845776.433 ms  0/11 (0%)  
[  5]  12.00-13.00  sec  15.6 KBytes   127 Kbits/sec  9266123.317 ms  0/11 (0%)  
[  5]  13.00-14.00  sec  15.6 KBytes   127 Kbits/sec  4555983.243 ms  0/11 (0%)  
[  5]  14.00-15.00  sec  15.6 KBytes   127 Kbits/sec  2240093.598 ms  0/11 (0%)  
[  5]  15.00-16.00  sec  15.6 KBytes   127 Kbits/sec  1101413.038 ms  0/11 (0%)  
[  5]  16.00-17.00  sec  15.6 KBytes   127 Kbits/sec  541544.657 ms  0/11 (0%)  
[  5]  17.00-18.00  sec  17.0 KBytes   139 Kbits/sec  249625.917 ms  0/12 (0%)  
[  5]  18.00-19.00  sec  15.6 KBytes   127 Kbits/sec  122736.518 ms  0/11 (0%)  
[  5]  19.00-20.00  sec  15.6 KBytes   127 Kbits/sec  60347.318 ms  0/11 (0%)  
[  5]  20.00-21.00  sec  15.6 KBytes   127 Kbits/sec  29671.697 ms  0/11 (0%)  
[  5]  21.00-22.00  sec  15.6 KBytes   127 Kbits/sec  14589.063 ms  0/11 (0%)  
[  5]  22.00-23.00  sec  14.1 KBytes   116 Kbits/sec  7651.426 ms  0/10 (0%)  
[  5]  23.00-24.00  sec  15.6 KBytes   127 Kbits/sec  3762.100 ms  0/11 (0%)  
